patch_id,solver,measurement_residual,coefficient_error,DC_error,AC_error,patch_psnr
42,ASL-SR-DPT,0.585316,1.553557,1.225434,0.954909,14.24
42,OMP,0.000000,0.339526,0.194735,0.278130,27.44
42,LASSO-ADMM,0.079241,2.548135,1.920175,1.675088,9.94
43,ASL-SR-DPT,0.633737,1.715278,1.318400,1.097268,13.38
43,OMP,0.000000,0.315518,0.159844,0.272032,28.08
43,LASSO-ADMM,0.076833,2.541523,1.887168,1.702333,9.96
44,ASL-SR-DPT,0.562739,1.528454,1.222576,0.917322,14.38
44,OMP,0.000007,0.449917,0.257512,0.368934,25.00
44,LASSO-ADMM,0.085712,2.543157,1.917492,1.670591,9.95
45,ASL-SR-DPT,0.618243,1.410179,1.107509,0.872942,15.08
45,OMP,0.000050,0.843320,0.107848,0.836396,19.54
45,LASSO-ADMM,0.097439,2.385351,1.773105,1.595618,10.51
46,ASL-SR-DPT,0.623400,1.418466,1.009115,0.996861,15.03
46,OMP,0.000000,0.872167,0.042546,0.871129,19.25
46,LASSO-ADMM,0.081393,2.475172,1.740045,1.760318,10.19
47,ASL-SR-DPT,0.665134,1.522617,1.135550,1.014341,14.41
47,OMP,0.000000,0.947406,0.126911,0.938868,18.53
47,LASSO-ADMM,0.085656,2.470689,1.832692,1.656968,10.21
48,ASL-SR-DPT,0.590873,1.738490,1.296980,1.157666,13.26
48,OMP,0.000037,0.550711,0.270292,0.479817,23.24
48,LASSO-ADMM,0.102916,2.465787,1.840701,1.640709,10.22
49,ASL-SR-DPT,0.634871,1.364531,1.107693,0.796844,15.36
49,OMP,0.000000,0.340601,0.157828,0.301826,27.42
49,LASSO-ADMM,0.080331,2.507086,1.853269,1.688453,10.08
50,ASL-SR-DPT,0.801353,1.580492,1.110934,1.124179,14.09
50,OMP,0.000019,0.817998,0.054070,0.816209,19.81
50,LASSO-ADMM,0.094573,2.059584,1.582754,1.317868,11.79
51,ASL-SR-DPT,0.489508,1.234424,0.798151,0.941678,16.23
51,OMP,0.000000,0.759600,0.331124,0.683630,20.45
51,LASSO-ADMM,0.092420,1.694603,1.131811,1.261223,13.48
52,ASL-SR-DPT,0.651371,1.015048,0.280414,0.975547,17.93
52,OMP,0.000000,0.968446,0.051512,0.967075,18.34
52,LASSO-ADMM,0.081917,1.003492,0.576239,0.821551,18.03
53,ASL-SR-DPT,0.835450,1.027290,0.195876,1.008443,17.83
53,OMP,0.000000,1.114816,0.087679,1.111363,17.12
53,LASSO-ADMM,0.084775,0.943560,0.546942,0.768869,18.57
54,ASL-SR-DPT,0.640383,0.573201,0.076752,0.568039,22.90
54,OMP,0.000000,1.041571,0.152865,1.030292,17.71
54,LASSO-ADMM,0.071634,0.855394,0.463176,0.719143,19.42
55,ASL-SR-DPT,0.546662,0.842151,0.389582,0.746622,19.55
55,OMP,0.000013,0.686602,0.053156,0.684541,21.33
55,LASSO-ADMM,0.084006,1.021700,0.629637,0.804629,17.88
56,ASL-SR-DPT,0.544859,0.780228,0.233295,0.744532,20.22
56,OMP,0.000000,0.715254,0.032844,0.714499,20.97
56,LASSO-ADMM,0.085781,1.046318,0.563340,0.881719,17.67
57,ASL-SR-DPT,0.552399,0.628780,0.237202,0.582322,22.09
57,OMP,0.000001,0.753352,0.190307,0.728919,20.52
57,LASSO-ADMM,0.078056,0.997611,0.586465,0.807023,18.08
58,ASL-SR-DPT,0.491340,0.650874,0.433003,0.485949,21.79
58,OMP,0.000000,0.811805,0.002510,0.811801,19.87
58,LASSO-ADMM,0.082784,0.859943,0.544149,0.665885,19.37
59,ASL-SR-DPT,0.408564,0.419963,0.219024,0.358326,25.60
59,OMP,0.000000,0.596964,0.135355,0.581416,22.54
59,LASSO-ADMM,0.076896,0.649736,0.369924,0.534147,21.81
60,ASL-SR-DPT,0.600323,0.587196,0.087285,0.580672,22.69
60,OMP,0.000000,0.833723,0.118590,0.825246,19.64
60,LASSO-ADMM,0.077473,0.744076,0.416930,0.616294,20.63
61,ASL-SR-DPT,0.473156,0.567588,0.104654,0.557857,22.98
61,OMP,0.000000,0.615663,0.039625,0.614387,22.27
61,LASSO-ADMM,0.083436,0.828924,0.524932,0.641530,19.69
62,ASL-SR-DPT,0.699490,0.771895,0.431151,0.640258,20.31
62,OMP,0.000000,0.959959,0.094604,0.955286,18.42
62,LASSO-ADMM,0.075948,1.072897,0.692422,0.819548,17.45
63,ASL-SR-DPT,0.680631,0.724628,0.126121,0.713568,20.86
63,OMP,0.000000,1.302536,0.454346,1.220725,15.77
63,LASSO-ADMM,0.097069,1.184523,0.669811,0.976958,16.59
64,ASL-SR-DPT,0.693147,0.655609,0.227874,0.614733,21.73
64,OMP,0.000028,0.926716,0.112952,0.919806,18.72
64,LASSO-ADMM,0.080046,1.301804,0.790287,1.034476,15.77
65,ASL-SR-DPT,0.630806,0.652965,0.164293,0.631958,21.76
65,OMP,0.000000,1.042378,0.148218,1.031786,17.70
65,LASSO-ADMM,0.082517,1.056480,0.537915,0.909284,17.58
66,ASL-SR-DPT,0.707496,0.902058,0.238824,0.869869,18.96
66,OMP,0.000000,0.974615,0.196796,0.954539,18.29
66,LASSO-ADMM,0.076675,1.257648,0.731269,1.023194,16.07
67,ASL-SR-DPT,0.776721,1.536800,0.611395,1.409947,14.33
67,OMP,0.000000,0.829741,0.067312,0.827007,19.68
67,LASSO-ADMM,0.087416,2.060492,1.171322,1.695179,11.78
68,ASL-SR-DPT,0.972240,1.733062,0.936125,1.458483,13.29
68,OMP,0.000000,0.869617,0.100102,0.863837,19.28
68,LASSO-ADMM,0.090774,2.379869,1.580217,1.779520,10.53
69,ASL-SR-DPT,0.859089,1.376998,0.939930,1.006307,15.28
69,OMP,0.000046,0.780310,0.125948,0.770079,20.22
69,LASSO-ADMM,0.098872,2.347845,1.689959,1.629851,10.65
70,ASL-SR-DPT,0.596275,1.668251,1.249289,1.105595,13.62
70,OMP,0.000000,0.651939,0.180287,0.626515,21.78
70,LASSO-ADMM,0.073831,2.478326,1.793684,1.710203,10.18
71,ASL-SR-DPT,0.545155,1.546273,1.230751,0.936062,14.28
71,OMP,0.000000,0.630788,0.302132,0.553723,22.06
71,LASSO-ADMM,0.086210,2.522624,1.877482,1.684843,10.02
72,ASL-SR-DPT,0.579380,1.699344,1.355433,1.024974,13.46
72,OMP,0.000000,0.491645,0.193951,0.451771,24.23
72,LASSO-ADMM,0.102126,2.466054,1.881318,1.594386,10.22
73,ASL-SR-DPT,0.602084,1.452454,1.031870,1.022188,14.82
73,OMP,0.000000,0.648343,0.103359,0.640051,21.83
73,LASSO-ADMM,0.073403,2.514989,1.859138,1.693746,10.05
74,ASL-SR-DPT,0.637997,1.640958,1.307175,0.991987,13.76
74,OMP,0.000000,0.598117,0.318131,0.506494,22.53
74,LASSO-ADMM,0.079840,2.533927,1.903752,1.672278,9.99
75,ASL-SR-DPT,0.696837,1.661582,1.295931,1.039912,13.65
75,OMP,0.000000,1.067142,0.270145,1.032382,17.50
75,LASSO-ADMM,0.097820,2.449015,1.765432,1.697328,10.28
76,ASL-SR-DPT,0.697059,1.260394,0.677383,1.062895,16.05
76,OMP,0.000000,0.779533,0.128325,0.768898,20.23
76,LASSO-ADMM,0.072619,2.109887,1.396128,1.581913,11.58
77,ASL-SR-DPT,0.818506,1.273204,0.823213,0.971271,15.96
77,OMP,0.000044,1.089475,0.376437,1.022375,17.32
77,LASSO-ADMM,0.077718,1.716684,1.214210,1.213548,13.37
78,ASL-SR-DPT,0.707497,1.041575,0.533438,0.894608,17.71
78,OMP,0.000000,1.142380,0.085058,1.139209,16.91
78,LASSO-ADMM,0.082943,1.360580,0.893738,1.025870,15.39
79,ASL-SR-DPT,0.684335,0.817918,0.243694,0.780771,19.81
79,OMP,0.000000,0.780764,0.281725,0.728164,20.21
79,LASSO-ADMM,0.086824,1.588886,0.938124,1.282373,14.04
80,ASL-SR-DPT,0.670399,0.864949,0.535994,0.678857,19.32
80,OMP,0.000000,0.769557,0.113083,0.761204,20.34
80,LASSO-ADMM,0.094258,1.582827,1.064772,1.171155,14.07
81,ASL-SR-DPT,0.573715,0.730729,0.405301,0.608026,20.79
81,OMP,0.000000,0.732901,0.049127,0.731252,20.76
81,LASSO-ADMM,0.072023,1.606185,1.066123,1.201337,13.95
82,ASL-SR-DPT,0.436396,0.715026,0.444676,0.559933,20.98
82,OMP,0.000000,0.594971,0.073700,0.590389,22.57
82,LASSO-ADMM,0.082318,1.568432,0.996988,1.210782,14.15
83,ASL-SR-DPT,0.416901,0.572447,0.372463,0.434703,22.91
83,OMP,0.000000,0.512688,0.021282,0.512246,23.86
83,LASSO-ADMM,0.080809,1.511997,1.050455,1.087510,14.47
84,ASL-SR-DPT,0.476675,0.434367,0.250092,0.355146,25.30
84,OMP,0.000000,0.710017,0.240138,0.668175,21.04
84,LASSO-ADMM,0.086707,1.695394,1.113710,1.278285,13.48
85,ASL-SR-DPT,0.697991,0.979819,0.658022,0.725984,18.24
85,OMP,0.000000,0.865598,0.118695,0.857421,19.32
85,LASSO-ADMM,0.083850,1.955188,1.397098,1.367801,12.24
86,ASL-SR-DPT,0.574229,1.431552,0.963106,1.059135,14.95
86,OMP,0.000000,0.699943,0.058549,0.697489,21.16
86,LASSO-ADMM,0.086967,2.117596,1.426758,1.564793,11.54
87,ASL-SR-DPT,0.620195,1.717925,1.157323,1.269594,13.36
87,OMP,0.000038,0.688697,0.031848,0.687960,21.30
87,LASSO-ADMM,0.085620,2.368596,1.659846,1.689722,10.57
88,ASL-SR-DPT,0.605242,1.284164,1.045288,0.745955,15.89
88,OMP,0.000000,0.773717,0.225158,0.740231,20.29
88,LASSO-ADMM,0.080249,2.530466,1.866719,1.708397,10.00
89,ASL-SR-DPT,0.521529,1.429008,1.100201,0.911933,14.96
89,OMP,0.000000,0.472497,0.201000,0.427612,24.57
89,LASSO-ADMM,0.082682,2.502584,1.858343,1.676153,10.09
90,ASL-SR-DPT,0.565985,1.477980,1.221455,0.832149,14.67
90,OMP,0.000000,0.438135,0.183904,0.397671,25.23
90,LASSO-ADMM,0.086739,2.466182,1.880533,1.595509,10.22
91,ASL-SR-DPT,0.594368,1.434427,1.160886,0.842570,14.93
91,OMP,0.000000,0.487731,0.202966,0.443494,24.30
91,LASSO-ADMM,0.087102,2.473799,1.845633,1.647215,10.19
92,ASL-SR-DPT,0.518744,1.444051,1.118052,0.913917,14.87
92,OMP,0.000000,0.633545,0.007438,0.633501,22.03
92,LASSO-ADMM,0.078758,2.382477,1.769642,1.595169,10.52
93,ASL-SR-DPT,0.597179,1.646171,1.224299,1.100442,13.73
93,OMP,0.000000,0.630679,0.049955,0.628698,22.07
93,LASSO-ADMM,0.085528,2.387959,1.743687,1.631535,10.50
94,ASL-SR-DPT,0.712717,1.254465,0.929039,0.842953,16.09
94,OMP,0.000002,0.572570,0.069006,0.568397,22.91
94,LASSO-ADMM,0.078857,2.384768,1.723518,1.648213,10.51
95,ASL-SR-DPT,0.553941,1.700490,1.169001,1.234951,13.45
95,OMP,0.000028,0.676058,0.058765,0.673499,21.46
95,LASSO-ADMM,0.088688,2.331803,1.706436,1.589144,10.71
96,ASL-SR-DPT,0.591675,1.524110,1.121883,1.031644,14.40
96,OMP,0.000000,0.479001,0.148639,0.455355,24.46
96,LASSO-ADMM,0.096707,2.411805,1.799643,1.605643,10.41
97,ASL-SR-DPT,0.533006,1.276946,1.007908,0.784037,15.94
97,OMP,0.000000,0.361638,0.158960,0.324828,26.90
97,LASSO-ADMM,0.085508,2.418684,1.779983,1.637588,10.39
98,ASL-SR-DPT,0.621711,1.425024,1.120383,0.880588,14.99
98,OMP,0.000022,0.407970,0.075821,0.400862,25.85
98,LASSO-ADMM,0.081994,2.476874,1.833348,1.665455,10.18
99,ASL-SR-DPT,0.572439,1.377105,1.084932,0.848140,15.28
99,OMP,0.000000,0.444382,0.090685,0.435031,25.11
99,LASSO-ADMM,0.071853,2.446429,1.792537,1.664880,10.29
100,ASL-SR-DPT,0.593998,1.194800,0.942047,0.734912,16.52
100,OMP,0.000000,0.832120,0.269178,0.787379,19.66
