iteration,sigma,norm_g_fidelity,norm_g_sparsity,norm_g_total,gradient_ratio,patch_id
20,3.90576177120586,0.017451356739428995,0.028622906601079322,0.014687861638273984,1.6401536584493577,0
21,3.710473682645567,0.0189195617214887,0.031083179450269487,0.016223368177362932,1.6429122359090083,0
22,3.5249499985132884,0.02047304955987576,0.03374454729760834,0.017976962289344835,1.6482423489924438,0
23,3.348702498587624,0.022112390632700898,0.03663084931771043,0.019985504543182327,1.6565757147731877,0
24,3.1812673736582426,0.023838124612346363,0.039770817403210965,0.02228958896291738,1.6683702283615323,0
25,3.0222040049753303,0.025651038848134168,0.04319859313793031,0.02493261530987811,1.6840874708305444,0
26,2.8710938047265637,0.027552570363458165,0.046953966103083375,0.027959512290852653,1.704159193995072,0
27,2.7275391144902352,0.029545339720582858,0.051082213699196743,0.03141519007251268,1.7289431829957993,0
28,2.5911621587657234,0.03163381744110396,0.055633454162631574,0.03534284130975913,1.758670266913258,0
29,2.4616040508274373,0.033825110876103424,0.06066149100321519,0.03978224060188751,1.7933863166157715,0
30,2.3385238482860653,0.03612984114954796,0.06622222362767398,0.04476821377060569,1.832895510211855,0
31,2.221597655871762,0.03856305653020676,0.07237180686351428,0.05032946101946743,1.8767134500042768,0
32,2.1105177730781737,0.04114510205195573,0.07916483122149631,0.05648791755100328,1.9240402204260278,0
33,2.004991884424265,0.043902338910784156,0.0866528322296885,0.0632588112280379,1.9737634572449427,0
34,1.9047422902030515,0.046867586780596444,0.09488339599847145,0.07065151627149867,2.0244992865251157,0
35,1.8095051756928988,0.05008015546181388,0.10390000510899025,0.07867119626831463,2.074674172851041,0
36,1.7190299169082537,0.05358534818685302,0.11374258751357966,0.08732108397996002,2.122643434488049,0
37,1.6330784210628408,0.05743336557262282,0.12444854107547586,0.09660508488922014,2.166833509314621,0
38,1.5514245000096987,0.06167762030612313,0.13605387110267764,0.10653026079200226,2.2058871666482034,0
39,1.4738532750092137,0.06637258266495959,0.14859405217418378,0.11710870095240739,2.238786652679583,0
40,1.400160611258753,0.07157139691562588,0.16210432693530885,0.12835835868596418,2.2649317174346963,0
41,1.3301525806958152,0.07732360537727669,0.1766193480331101,0.14030262161273863,2.2841582097905353,0
42,1.2636449516610244,0.08367335008284066,0.1921722752820685,0.15296865097072562,2.2966963207736835,0
43,1.2004627040779732,0.09065835955859991,0.2087935736070459,0.16638479544725518,2.303081311239539,0
44,1.1404395688740745,0.098309866742308,0.22650977612464987,0.1805775808709852,2.304039092214236,0
45,1.0834175904303707,0.10665338135267946,0.24534240280489283,0.1955688433745894,2.3003715371536044,0
46,1.0292467109088521,0.1157100292936424,0.2653071214910718,0.2113734905586266,2.2928619334957587,0
47,0.9777843753634095,0.1254980526673985,0.28641316127898053,0.2279981663599384,2.282211996054215,0
48,0.9288951565952389,0.13603408322676921,0.308662956810579,0.245440830081226,2.269011923254828,0
49,0.8824503987654769,0.14733394532381056,0.332052000456225,0.2636910363995554,2.253737247899261,0
50,0.838327878827203,0.15941294137450088,0.35656888358364325,0.2827306019282069,2.236762464259246,0
51,0.7964114848858429,0.17228573589919657,0.3821955043128297,0.30253437884423495,2.2183815875299753,0
52,0.7565909106415507,0.18596602661733763,0.4089074053593805,0.3230709667370417,2.1988285322715933,0
53,0.7187613651094731,0.20046617209326947,0.4366741844712542,0.3443032938414293,2.178293623864309,0
54,0.6828232968539995,0.2157968762862896,0.465459893488647,0.36618903645711326,2.1569352694018558,0
55,0.6486821320112994,0.23196695785870466,0.49522331012134707,0.388680822740081,2.134887290382955,0
56,0.6162480254107344,0.24898318100124542,0.5259179275265006,0.41172611342907856,2.11226286615669,0
57,0.5854356241401977,0.26685009501082374,0.5574914576803803,0.4352665895211756,2.0891559272548426,0
58,0.5561638429331878,0.285569810985261,0.589884580548103,0.4592368082103072,2.065640546922337,0
59,0.5283556507865284,0.3051416260841121,0.623028584957424,0.4835618034226392,2.0417685812085384,0
60,0.5019378682472019,0.3255613842090693,0.6568414291111249,0.508153191234594,2.0175655374696215,0
61,0.4768409748348418,0.34682043590131467,0.6912215875439461,0.5329031773954813,1.9930243895449933,0
62,0.45299892609309966,0.3689040314936648,0.7260388383753168,0.5576756399717235,1.9680967850517652,0
63,0.43034897978844466,0.3917889548038129,0.7611208853168757,0.5822931727192471,1.9426808131893472,0
64,0.4088315307990224,0.41544018951865436,0.7962344500691656,0.606518662711346,1.9166042914425654,0
