patch_id,noise_sigma,config,support_size,M,support_ratio_M,cond_A_S,cond_ATA,rank_A_S,variance_amplification_tr,pre_debias_residual,post_debias_residual,psnr
81,15.0,A5,64,38,1.6842105263157894,6.204741459133662,38.49881657469213,38,99.57301119501133,0.6142039547193019,1.2389083675977463e-15,22.237957841671395
81,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.25149316030588137,4.3431877807732115e-16,29.36764309724424
82,15.0,A5,2,38,0.05263157894736842,1.1168082710455467,1.2472607142757433,2,3.3153568368751065,0.6840734045884725,0.6847533796974251,18.649352435083088
82,15.0,A5A6,1,37,0.02702702702702703,1.0,1.0,1,3.3567542878546486,0.6570047933481288,0.6544075845906606,19.107305380304044
83,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.6599253413478605,0.6607313872414564,20.024716819604112
83,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.6294457914845778,1.0259501707747474e-15,20.964564608774406
84,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.38863621346575,0.38910605317475405,30.68980578652821
84,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.35490129545185906,6.340384641091709e-16,26.39492046791579
85,15.0,A5,64,38,1.6842105263157894,6.204741459133662,38.49881657469213,38,99.57301119501133,0.6301200176114654,1.3535779502053196e-15,21.677754999513166
85,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3284735908183278,3.73361701086259e-16,28.708125191649117
86,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.4677348831616641,0.46831476023805907,32.03439445637382
86,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.4218816968251907,4.901814114749113e-16,25.677465331265612
87,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.3770719827596452,0.37756893818741155,32.20979638872293
87,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3706114010378193,4.3462093760974863e-16,27.23029360338537
88,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.3786008014699966,0.3789965285569203,26.037354720907445
88,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3768574355703252,4.677631673421345e-16,26.47962307403929
89,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.40000661384542274,0.40040190266199893,27.413086119070414
89,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3862992130800613,5.090632051544941e-16,25.39261103349069
90,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.3206697681539524,0.3210851347078092,39.441392776276516
90,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3048995215353539,4.49459119615746e-16,27.71675983060679
91,15.0,A5,2,38,0.05263157894736842,1.239019926381448,1.535170377970289,2,3.6031874199086555,0.4836420184899374,0.4828724989215099,24.1674150878551
91,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.631217023270516,6.67928105111792e-16,22.970153525240434
92,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.2911762571240881,0.29142539795872724,32.72658890756481
92,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3563255276708296,3.8497013122119356e-16,27.18123269196234
93,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.3657389404545692,0.36604622553551003,37.15686798602959
93,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.37621244417561056,5.442681083361864e-16,27.105298032476046
